Sample,Depth,ROV,Phosphate,Ammonium,Sulfide,Sulphate,Methane,DIC,¦Ä15N,¦Ä13C,%ON,%OC,DOM_t,DOM_a,DOM_m,DOM_c,DOM_b,DOM_SR,DOM_BIX,DOM_FI,DOM_HIX,DNA_18S_Whole_Richness,RNA_18S_Whole_Richness,DNA_Breviatea_Richness,RNA_Breviatea_Richness,DNA_Laby_Richness,RNA_Laby_Richness,DNA_Apicomplexa_Richness,RNA_Apicomplexa_Richness,DNA_16s_Whole_Richness,RNA_16s_Whole_Richness,DNA_ANME1_Richness,RNA_ANME1_Richness,DNA_Methano_Richness,RNA_Methano_Richness,DNA_Gamma_Richness,RNA_Gamma_Richness
D518ROV3PC201_10,10,ROV3,0.3235,27.18333333,73.38833333,2304,11947.55,2.945,5.3,-22.4,0.11,0.86,0.554279571,1.503279146,0.919891783,0.718288273,0.62209724,2.05919841,1.016681851,1.323617659,0.711126282,80,294,0,3,0,1,2,2,659,1819,6,10,1,17,142,292
D518ROV3LPC_0,0,ROV3,0.3008,29.94,149.882,2336.8,10204.16,4.05,3.4,-26.1,0.11,0.83,0.451960122,0.840989477,0.528919266,0.385580321,0.484468589,1.529272443,0.972799424,1.291601689,0.655721014,97,395,1,8,1,9,23,5,325,2088,3,7,0,10,65,396
D518ROV3LPC_5,5,ROV3,0.267333333,27.28333333,213.8783333,2332.666667,12752.18333,3.13,4.3,-28.6,0.09,0.71,0.478833578,1.130592355,0.700215357,0.540108003,0.534512173,2.731423126,0.946021837,1.289647154,0.696043189,97,312,0,6,2,6,1,3,699,1728,12,14,2,16,130,221
D522ROV1PC203_5,5,ROV1,0.395,26.5,85.11,760.6,34583.36,20.11,3.5,-23.5,0.15,1,0.682763619,1.534696103,1.082345401,0.762577069,0.845431884,2.020252209,1.056276138,1.311888523,0.65840654,227,NA,3,NA,1,NA,3,NA,1927,1288,1,5,5,10,237,157
D518ROV3LPC_10,10,ROV3,0.3235,27.18333333,73.38833333,2304,11947.55,2.945,4.2,-28.3,0.12,0.87,0.512463968,1.275868748,0.778784362,0.604009253,0.484569126,1.940477295,0.891093063,1.254820284,0.72894407,66,262,1,7,0,8,8,5,1118,1810,8,14,4,11,191,289
D519ROV3PC203_0,0,ROV3,0.3008,29.94,149.882,2336.8,10204.16,4.05,4.1,-22.5,0.11,0.89,0.488772331,1.757725831,0.968416973,0.83965021,0.425333581,1.84454616,0.822384539,1.243831231,0.796265256,67,352,0,6,0,14,2,1,1106,2157,2,4,0,9,218,430
D519ROV3PC203_5,5,ROV3,0.267333333,27.28333333,213.8783333,2332.666667,12752.18333,3.13,3.3,-22.8,0.11,0.89,0.492998639,1.559797936,0.907151487,0.736482091,0.582711393,1.874365056,0.850217174,1.315334404,0.727814725,67,304,0,11,0,9,2,2,1167,2257,2,6,3,11,179,349
D519ROV3PC203_10,10,ROV3,0.3235,27.18333333,73.38833333,2304,11947.55,2.945,4.5,-22,0.12,0.99,0.56982526,1.795158886,1.001546954,0.849671997,0.664934272,1.776425455,0.833267203,1.312184538,0.729890699,265,376,0,4,2,2,15,3,1250,1989,7,6,2,15,197,313
D519ROV3PC201_0,0,ROV3,0.3008,29.94,149.882,2336.8,10204.16,4.05,4.7,-22.9,0.11,1.04,0.494116867,1.626248022,0.92901052,0.75987566,0.498226972,1.869277894,0.895652709,1.284597088,0.760685932,102,222,1,10,1,5,11,10,1356,1804,2,0,0,4,257,364
D519ROV3PC201_5,5,ROV3,0.267333333,27.28333333,213.8783333,2332.666667,12752.18333,3.13,4.5,-22.9,0.11,0.87,0.573116027,1.652767843,0.889411326,0.760355587,0.521626736,1.950510368,0.810744341,1.323337808,0.771150159,112,262,0,16,0,6,15,10,1122,1818,1,2,1,6,220,335
D519ROV3PC201_10,10,ROV3,0.3235,27.18333333,73.38833333,2304,11947.55,2.945,5.1,-23.6,0.11,0.97,0.444254964,1.702141541,0.962363756,0.805064129,0.469332838,2.02633202,0.867343633,1.310999887,0.770964605,53,199,0,9,0,3,4,7,1283,1671,2,2,2,11,223,310
D519ROV3PC202_0,0,ROV3,0.3008,29.94,149.882,2336.8,10204.16,4.05,4.1,-22.4,0.11,0.88,0.529979145,1.623827964,0.935188668,0.766893278,0.593995987,1.985211338,0.877524543,1.324147012,0.730404441,118,201,0,9,0,4,0,6,1313,1813,2,2,2,14,237,352
D519ROV3PC202_5,5,ROV3,0.267333333,27.28333333,213.8783333,2332.666667,12752.18333,3.13,4.4,-23.8,0.12,1.19,0.711978463,2.196212898,1.248799833,1.041286265,0.810021471,2.301456938,0.920579048,1.335263055,0.735155642,45,207,0,13,0,3,4,4,972,2071,2,2,2,13,147,350
D519ROV3PC204_0,0,ROV3,0.3008,29.94,149.882,2336.8,10204.16,4.05,4.2,-22.5,0.15,1.01,0.744306456,1.638565045,1.075050792,0.790743739,0.778411224,2.203647654,1.086526358,1.319455439,0.691640286,179,227,5,6,1,8,17,11,1160,2366,1,4,1,13,211,381
D522ROV1PC203_10,10,ROV1,0.415,26.68333333,152.244,387.25,76078.73333,23.65,4.4,-23.8,0.13,0.85,0.562566686,1.249917466,0.757398313,0.593306327,0.662355856,2.127341483,0.99589686,1.301557671,0.666896873,197,205,3,22,7,3,30,4,1813,850,3,7,6,12,189,130
D519ROV3PC204_5,5,ROV3,0.267333333,27.28333333,213.8783333,2332.666667,12752.18333,3.13,4.1,-24.6,0.16,1.09,1.350182142,2.138243799,1.424261319,1.030750462,1.504860002,2.100088873,1.187362719,1.390840976,0.627814609,321,240,2,8,2,7,6,4,1569,1974,2,2,1,9,278,394
D519ROV3PC204_10,10,ROV3,0.3235,27.18333333,73.38833333,2304,11947.55,2.945,4.2,-22.4,0.15,0.99,0.372351006,1.169503205,0.64353573,0.564480372,0.38370592,2.647264058,0.805226192,1.27521876,0.738950591,63,NA,0,NA,0,NA,4,NA,1715,2332,0,6,3,12,275,319
D519ROV3PC205_0,0,ROV3,0.3008,29.94,149.882,2336.8,10204.16,4.05,4.2,-22.1,0.15,1.08,0.46696442,1.328002622,0.708787489,0.59289605,0.572919733,2.844481718,0.907170374,1.29566743,0.703155718,204,359,1,8,2,25,6,3,1583,2079,1,2,0,7,334,447
D519ROV3PC205_5,5,ROV3,0.267333333,27.28333333,213.8783333,2332.666667,12752.18333,3.13,4.8,-22.3,0.14,1.01,0.42047744,1.344763692,0.772158593,0.640253279,0.489196456,2.454929028,0.910516887,1.257654039,0.736582192,245,337,2,11,7,12,5,6,1572,2180,0,2,1,8,287,368
D519ROV3PC205_10,10,ROV3,0.3235,27.18333333,73.38833333,2304,11947.55,2.945,4.1,-22.3,0.13,0.93,0.328975625,1.158332506,0.705413198,0.573957725,0.330773874,2.507133316,0.925993163,1.27136958,0.760857338,112,NA,0,NA,5,NA,10,NA,1413,1584,0,3,3,11,191,292
